entity_id,state,last_changed
sensor.153931628473058_total_energy_consumption,1357.25,2026-03-22T17:47:28.502Z
sensor.153931628473058_total_energy_consumption,1357.26,2026-03-22T17:48:01.822Z
sensor.153931628473058_total_energy_consumption,1357.27,2026-03-22T17:48:35.102Z
sensor.153931628473058_total_energy_consumption,1357.28,2026-03-22T17:49:08.346Z
sensor.153931628473058_total_energy_consumption,1357.29,2026-03-22T17:49:41.520Z
sensor.153931628473058_total_energy_consumption,1357.3,2026-03-22T17:50:14.771Z
sensor.153931628473058_total_energy_consumption,1357.31,2026-03-22T17:50:47.946Z
sensor.153931628473058_total_energy_consumption,1357.32,2026-03-22T17:51:21.339Z
sensor.153931628473058_total_energy_consumption,1357.33,2026-03-22T17:51:54.733Z
sensor.153931628473058_total_energy_consumption,1357.34,2026-03-22T17:52:27.925Z
sensor.153931628473058_total_energy_consumption,1357.35,2026-03-22T17:53:02.143Z
sensor.153931628473058_total_energy_consumption,1357.36,2026-03-22T17:53:35.449Z
sensor.153931628473058_total_energy_consumption,1357.37,2026-03-22T17:54:08.763Z
sensor.153931628473058_total_energy_consumption,1357.38,2026-03-22T17:54:42.953Z
sensor.153931628473058_total_energy_consumption,1357.39,2026-03-22T17:55:16.205Z
sensor.153931628473058_total_energy_consumption,1357.4,2026-03-22T17:55:49.463Z
sensor.153931628473058_total_energy_consumption,1357.41,2026-03-22T17:56:22.796Z
sensor.153931628473058_total_energy_consumption,1357.42,2026-03-22T17:56:55.999Z
sensor.153931628473058_total_energy_consumption,1357.43,2026-03-22T17:57:29.221Z
sensor.153931628473058_total_energy_consumption,1357.44,2026-03-22T17:58:02.497Z
sensor.153931628473058_total_energy_consumption,1357.45,2026-03-22T17:58:35.616Z
sensor.153931628473058_total_energy_consumption,1357.46,2026-03-22T17:59:09.815Z
sensor.153931628473058_total_energy_consumption,1357.47,2026-03-22T17:59:43.033Z
sensor.153931628473058_total_energy_consumption,1357.48,2026-03-22T18:00:16.263Z
sensor.153931628473058_total_energy_consumption,1357.49,2026-03-22T18:00:49.467Z
sensor.153931628473058_total_energy_consumption,1357.5,2026-03-22T18:01:22.872Z
sensor.153931628473058_total_energy_consumption,1357.51,2026-03-22T18:01:57.041Z
